Cs0000,0,10001,1422284400,4096483201,0,-1,-1,100,0,クリアすると段位が「見習い」に昇格します。,-1,
Cs0001,1,10001,1422284400,4096483201,0,-1,-1,110,0,クリアすると段位が「初段」に昇格します。,-1,
Cs0002,2,10001,1422284400,4096483201,0,-1,-1,120,0,クリアすると段位が「二段」に昇格します。,-1,
Cs0003,3,10001,1422284400,4096483201,0,-1,-1,130,0,クリアすると段位が「三段」に昇格します。,-1,
Cs0004,4,10001,1422284400,4096483201,0,-1,-1,140,0,クリアすると段位が「四段」に昇格します。,-1,
Cs0005,5,10001,1422284400,4096483201,0,-1,-1,150,0,クリアすると段位が「五段」に昇格します。,-1,
Cs0006,6,10001,1422284400,4096483201,0,-1,-1,160,0,クリアすると段位が「六段」に昇格します。,-1,
Cs0007,7,10001,1422284400,4096483201,0,-1,-1,170,0,クリアすると段位が「七段」に昇格します。,-1,
Cs0008,8,10001,1422284400,4096483201,0,-1,-1,180,0,クリアすると段位が「八段」に昇格します。,-1,
Cs0009,9,10001,1422284400,4096483201,0,-1,-1,190,0,クリアすると段位が「九段」に昇格します。,-1,
