1000,1,10000,1,-1,-,1412103600,4096483201,ic0000,10,2,,1,,1,-,
1001,2,10000,1,-1,-,1412103600,4096483201,ic1718,10,2,,1,,1,-,
1002,3,10000,1,-1,-,1412103600,4096483201,ic0001,10,2,,1,,1,-,
1003,4,10000,1,-1,-,1412103600,4096483201,ic0002,10,2,,1,,1,-,
1004,5,10000,1,-1,-,1412103600,4096483201,ic0003,10,2,,1,,1,-,
1005,6,10000,1,-1,-,1412103600,4096483201,ic0004,10,2,,1,,1,-,
1006,7,10000,1,-1,-,1412103600,4096483201,ic0005,10,2,,1,,1,-,
1007,8,10000,1,-1,-,1412103600,4096483201,ic0006,10,2,,1,,1,-,
1008,9,10000,1,-1,-,1412103600,4096483201,ic0007,10,2,,1,,1,-,
1009,10,10000,1,-1,-,1412103600,4096483201,ic0008,10,2,,1,,1,-,
1010,11,10000,1,-1,-,1412103600,4096483201,ic0009,10,2,,1,,1,-,
1011,12,10000,1,-1,-,1412103600,4096483201,ic0010,10,2,,1,,1,-,
1012,13,10000,1,-1,-,1412103600,4096483201,ic0011,10,2,,1,,1,-,
1013,14,10000,1,-1,-,1412103600,4096483201,ic0012,10,2,,1,,1,-,
1014,15,10000,1,-1,-,1412103600,4096483201,ic0013,10,2,,1,,1,-,
1015,16,10000,1,-1,-,1412103600,4096483201,ic0014,10,2,,1,,1,-,
1016,17,10000,1,-1,-,1412103600,4096483201,ic0015,10,2,,1,,1,-,
1017,18,10000,1,-1,-,1412103600,4096483201,ic0016,10,2,,1,,1,-,
1018,19,10000,1,-1,-,1412103600,4096483201,ic0017,10,2,,1,,1,-,
1019,20,10000,1,-1,-,1412103600,4096483201,ic0018,10,2,,1,,1,-,
1020,21,10000,1,-1,-,1412103600,4096483201,ic0019,10,2,,1,,1,-,
1021,22,10000,1,-1,-,1412103600,4096483201,ic0020,10,2,,1,,1,-,
1022,23,10000,1,-1,-,1412103600,4096483201,ic0021,10,2,,1,,1,-,
1023,24,10000,1,-1,-,1412103600,4096483201,ic0022,10,2,,1,,1,-,
1024,25,10000,1,-1,-,1412103600,4096483201,ic0023,10,2,,1,,1,-,
1025,26,10000,1,-1,-,1412103600,4096483201,ic0024,10,2,,1,,1,-,
1026,27,10000,1,-1,-,1412103600,4096483201,ic0025,10,2,,1,,1,-,
1027,28,10000,1,-1,-,1412103600,4096483201,ic0026,10,2,,1,,1,-,
1028,29,10000,1,-1,-,1412103600,4096483201,ic0027,10,2,,1,,1,-,
1029,30,10000,1,-1,-,1412103600,4096483201,ic0029,10,2,,1,,1,-,
1030,31,10000,1,-1,-,1412103600,4096483201,ic0030,10,2,,1,,1,-,
1031,32,10000,1,-1,-,1412103600,4096483201,ic0031,10,2,,1,,1,-,
1032,33,10000,1,-1,-,1412103600,4096483201,ic0032,10,2,,1,,1,-,
1033,34,10000,1,-1,-,1412103600,4096483201,ic0033,10,2,,1,,1,-,
1034,35,10000,1,-1,-,1412103600,4096483201,ic0034,10,2,,1,,1,-,
1035,36,10000,1,-1,-,1412103600,4096483201,ic0035,10,2,,1,,1,-,
1036,37,10000,1,-1,-,1412103600,4096483201,ic0036,10,2,,1,,1,-,
1037,38,10000,1,-1,-,1412103600,4096483201,ic0037,10,2,,1,,1,-,
1038,39,10000,1,-1,-,1412103600,4096483201,ic0038,10,2,,1,,1,-,
1039,40,10000,1,-1,-,1412103600,4096483201,ic0039,10,2,,1,,1,-,
1040,41,10000,1,-1,-,1412103600,4096483201,ic0040,10,2,,1,,1,-,
1041,42,10000,1,-1,-,1412103600,4096483201,ic0042,10,2,,1,,1,-,
1042,43,10000,1,-1,-,1412103600,4096483201,ic0043,10,2,,1,,1,-,
1043,44,10000,1,-1,-,1412103600,4096483201,ic0044,10,2,,1,,1,-,
1044,45,10000,1,-1,-,1412103600,4096483201,ic0045,10,2,,1,,1,-,
1045,46,10000,1,-1,-,1412103600,4096483201,ic0046,10,2,,1,,1,-,
1046,47,10000,1,-1,-,1412103600,4096483201,ic0047,10,2,,1,,1,-,
1047,48,10000,1,-1,-,1412103600,4096483201,ic0048,10,2,,1,,1,-,
