2000,crossbeats REV. SUNRiSE,1,
2001,crossbeats REV.,1,
2002,SUNSET,5,
2003,ハンターデビュー,1,
2004,隣のハンター,1,
2005,評判のハンター,2,
2006,かなりのハンター,2,
2007,素晴らしいハンター,3,
2008,一流ハンター,3,
2009,幻のハンター,4,
2010,ハンター師匠,4,
2011,＼INNOVATION／,5,
2012,10階の住人,1,
2013,20階の住人,2,
2014,30階の住人,2,
2015,40階の住人,2,
2016,50階の住人,2,
2017,60階の住人,3,
2018,70階の住人,3,
2019,80階の住人,3,
2020,90階の住人,4,
2021,フルコン芸術家[レベル1],1,
2022,フルコン芸術家[レベル2],2,
2023,フルコン芸術家[レベル3],2,
2024,フルコン芸術家[レベル4],2,
2025,フルコン芸術家[レベル5],2,
2026,フルコン芸術家[レベル6],5,
2027,ULTIMATE使い[レベル1],1,
2028,ULTIMATE使い[レベル2],2,
2029,ULTIMATE使い[レベル3],2,
2030,ULTIMATE使い[レベル4],2,
2031,ULTIMATE使い[レベル5],3,
2032,ULTIMATE使い[レベル6],3,
2033,ULTIMATE賢者[レベル1],2,
2034,ULTIMATE賢者[レベル2],2,
2035,ULTIMATE賢者[レベル3],3,
2036,ULTIMATE賢者[レベル4],3,
2037,ULTIMATE賢者[レベル5],4,
2038,ULTIMATE賢者[レベル6],4,
2039,100%マニア[レベル1],1,
2040,100%マニア[レベル2],2,
2041,100%マニア[レベル3],2,
2042,100%マニア[レベル4],2,
2043,100%マニア[レベル5],5,
2044,そこそこできます,1,
2045,まだまだできます,2,
2046,まぁまぁできます,3,
2047,色々できます,3,
2048,カンペキにできます,5,
2049,MASTER達成率99%余裕でした(笑),3,
2050,UNLIMITED達成率99%余裕でした(白目),3,
2051,ちょこっとSUNRISE,2,
2052,まだまだSUNRISE,2,   
2053,いろいろSUNRISE,2,
2054,もっとSUNRISE,2,
2055,たくさんSUNRISE,2,
2056,今日も一日 dxb,3,
2057,クロビってる？,3,
2058,dxb　dxb　dxb　dxb,3,
2059,帰ってきた!?イノベーター,4,
2060,イノベーションおじさん,5,
2061,勝負師の隣人,1,
2062,謎めいた勝負師,1,
2063,地元の勝負師,2,
2064,人気者の勝負師,5,
2065,有名な勝負師,5,
2066,裏MANIA I 覇者,5,
2067,裏MANIA II 覇者,5,
2068,裏İstanbul覇者,5,
2069,真・裏MANIA覇者,5,
2070,真・裏MANIA覇者 極,5,
2071,裏２０２０覇者,4,
2072,日本全国ノ魂ヲ得タ者,5,
2073,ムリよぉ　これ・・・,2,
2074,刹那の見切り,3,
2075,おあついのでごちゅういください,3,
2076,あるよな？,5,
2077,確実にゴッ！！,5,
2078,SEE YOU AGAINやな,5,
2079,トリックマスター,3,
2080,岡崎ロケテスター,1,
2081,JAEPO2016勢,5,
2082,吉祥寺ロケテスター,1,
2083,初モノ食い,3,
2084,MY FIRST STORY特集 TOP10,5,
2085,MY FIRST STORY特集 TOP30,5,
2086,MY FIRST STORY特集 TOP50,4,
2087,MY FIRST STORY特集 TOP70,5,
2088,MY FIRST STORY特集 TOP100,5,
2089,MY FIRST STORY特集 TOP300,5,
2090,MY FIRST STORY特集 TOP500,5,
2091,MY FIRST STORY特集 TOP700,5,
2092,MY FIRST STORY特集 TOP1000,2,
2093,ライジングパープラー,1,
2094,世界ニ暁鐘ヲ響カセヨ,2,
2095,「いつの日か・・・・」そう言って旅立つ僕,3,
2096,頷いて何度も手を振る君,4,
2097,僕は此処で君を待つ,5,
2098,RISING PURPLE 覇者,5,
2099,RISING PURPLE 四天王,5,
2100,RISING PURPLE 豪傑,5,
2101,RISING PURPLE 猛者,5,
2102,RISING PURPLE 強者,4,
2103,RISING PURPLE 名人,5,
2104,RISING PURPLE 達人,5,
2105,RISING PURPLE 精鋭,5,
2106,RISING PURPLE 入賞,2,
2107,アニメミュージック通になりました,2,
2108,ディノバルド,1,
2109,ニャンター,2,
2110,狩魂,3,
2111,MONSTER HUNTER,4,
2112,モンスターハンタークロス,5,
2113,レベルイェーラー,2,
2114,旅立つ背中にユルギナイ決意,2,
2115,you're not alone...,3,
2116,キミに　伝えたいよ,4,
2117,キミと　駆け抜けてく,5,
2118,帰ってきたレベルイェーラー,3,
2119,REBEL YELL 覇者,5,
2120,REBEL YELL 四天王,5,
2121,REBEL YELL 豪傑,5,
2122,REBEL YELL 猛者,5,
2123,REBEL YELL 強者,4,
2124,REBEL YELL 名人,5,
2125,REBEL YELL 達人,5,
2126,REBEL YELL 精鋭,5,
2127,REBEL YELL 入賞,2,
2128,昇龍拳！,1,
2129,ゴメンね！,2,
2130,神脚美麗,3,
2131,俺より強い奴に会いに行く,4,
2132,The World Warrior,5,
2133,グルコス勢,1,
2134,REV勢でヴ勢,5,
2135,お断リンカちゃん,5,
2136,I ｖ リンカ,5,
2137,I ｖ Groove Coaster,5,
2138,Groove Master？,5,
2139,イノベーターの弟子,2,
2140,駆け出しイノベーター,1,
2141,ミドルイノベーター,2,
2142,立派なイノベーター,2,
2143,ベテンランイノベーター,2,
2144,憧れのイノベーター,3,
2145,特級イノベーター,3,
2146,イノベーター超人,4,
2147,ウルトラ☆イノベーター,4,
2148,カリスマ☆イノベーター,5,
2149,＼INNOVATION ～改～／,5,
2150,初代レヴ勢,1,
2151,夜明け前,1,
