tutori2,10000,100000,10,10,10,10,10,0,0,0,0,0,0,100000,
tutori3,10000,100000,10,10,10,10,10,0,0,0,0,0,0,100000,
tutori4,10000,10100000,10,10,10,10,10,0,0,0,0,0,0,100000,
tutori5,10000,100000,10,10,10,10,10,0,0,0,0,0,0,100000,
tutori6,10050,10100000,10,10,10,10,10,0,0,0,0,0,0,100000,
wannab,10073,800000,90,230,400,650,50,1,1,1,1,1,3,100001,
toucho,10000,802000,90,280,440,650,50,1,1,1,1,1,1,100002,
ameoto,10000,802000,120,260,470,630,60,1,1,1,1,1,1,100003,
kimito,10000,800000,100,260,490,660,70,1,1,1,1,1,1,100004,
landin,10000,802000,260,330,490,670,130,1,1,1,1,1,1,100005,
aquali,10104,800000,160,340,580,0,110,1,1,1,0,1,4,100006,
yiyoyi,10080,800000,140,330,560,700,70,1,1,1,1,1,3,100007,
hontno,10022,801000,120,260,530,660,90,1,1,1,1,1,1,100010,
binary,10080,800000,170,350,640,890,140,1,1,1,1,1,1,100014,
breakd,10000,803000,230,340,570,740,110,1,1,1,1,1,2,100015,
higame,10076,800000,200,300,580,710,130,1,1,1,1,1,3,100016,
freakw,10104,800000,220,420,650,660,130,1,1,1,1,1,0,100018,
giantk,10000,808000,250,530,710,780,110,1,1,1,1,1,3,100021,
theepi,10076,800000,190,400,610,750,140,1,1,1,1,1,3,100022,
anomie,10076,800000,220,380,610,770,150,1,1,1,1,1,0,100023,
azitat,10022,800000,240,550,700,830,140,1,1,1,1,1,0,100024,
dazzlj,10000,802000,350,600,800,900,160,1,1,1,1,1,1,100028,
aerial,10100,800000,110,280,560,710,50,1,1,1,1,1,1,100039,
gingat,10005,800000,130,290,460,610,50,1,1,1,1,1,0,100041,
sundro,10000,807000,240,470,750,830,140,1,1,1,1,1,3,100042,
childr,10069,800000,240,390,560,620,140,1,1,1,1,1,0,100043,
tsukai,10069,802000,190,440,720,760,130,1,1,1,1,1,1,100044,
dennou,10000,801000,290,600,760,870,150,1,1,1,1,1,1,100045,
romanc,10104,800000,280,550,780,0,100,1,1,1,0,1,0,100047,
makaim,10078,2400000,300,500,770,0,230,1,1,1,0,1,3,100054,
gyakut,10078,2400000,150,210,460,640,60,1,1,1,1,1,1,100055,
basara,10078,2400000,190,370,640,730,140,1,1,1,1,1,0,100056,
howtru,10074,800000,120,250,530,740,80,1,1,1,1,1,0,100057,
