"version","gachaId","gachaName","type","kind","isCeiling","maxSelectPoint"
6,1011,"無料ガチャ",0,3,0,0
6,1012,"無料ガチャ（SR確定）",0,3,0,0
6,1043,"レギュラーガチャ",0,0,0,0
6,1067,"例えるなら大人のパッションフルーツ
リゾートプールガチャ",0,1,0,0
6,1068,"柏木 咲姫
ピックアップガチャ",0,2,0,0
6,1069,"井之原 小星
ピックアップガチャ",0,2,0,0
6,1070,"目指すは優勝！
炎の体育祭リミテッドガチャ",0,1,1,110
6,1071,"星咲 あかり
ピックアップガチャ",0,2,0,0
6,1072,"藤沢 柚子
ピックアップガチャ",0,2,0,0
6,1073,"三角 葵
ピックアップガチャ",0,2,0,0
6,1074,"おくれてきた
Halloweenガチャ",0,1,0,0
6,1075,"早乙女 彩華
ピックアップガチャ",0,2,0,0
6,1076,"桜井 春菜
ピックアップガチャ",0,2,0,0
6,1077,"ふわふわすぺーす
お仕事体験リミテッドガチャ",0,1,1,110
6,1078,"高瀬 梨緒
ピックアップガチャ",0,2,0,0
6,1079,"結城 莉玖
ピックアップガチャ",0,2,0,0
6,1080,"藍原 椿
ピックアップガチャ",0,2,0,0
6,1081,"今夜はおうちでパーティ☆
メリクリガチャ",0,1,0,0
6,1082,"日向 千夏
ピックアップガチャ",0,2,0,0
6,1083,"柏木 美亜
ピックアップガチャ",0,2,0,0
6,1084,"東雲 つむぎ
ピックアップガチャ",0,2,0,0
6,1085,"謹賀新年
福袋ガチャ",0,0,1,33
6,1086,"逢坂 茜
ピックアップガチャ",0,2,0,0
6,1087,"珠洲島 有栖
ピックアップガチャ",0,2,0,0
6,1088,"九條 楓
ピックアップガチャ",0,2,0,0
6,1089,"冬の魔法
スーパーウルトラウィンターガチャ",0,1,0,0
6,1093,"高瀬 梨緒ピックアップガチャ",0,2,0,0
6,1094,"結城 莉玖ピックアップガチャ",0,2,0,0
6,1095,"藍原 椿ピックアップガチャ",0,2,0,0
6,1096,"早乙女 彩華ピックアップガチャ",0,2,0,0
6,1097,"桜井 春菜ピックアップガチャ",0,2,0,0
6,1098,"逢坂 茜ピックアップガチャ",0,2,0,0
6,1099,"九條 楓ピックアップガチャ",0,2,0,0
6,1100,"珠洲島 有栖ピックアップガチャ",0,2,0,0
6,1101,"LEAF属性オンリーガチャ",0,2,0,0
6,1102,"AQUA属性オンリーガチャ",0,2,0,0
6,1103,"FIRE属性オンリーガチャ",0,2,0,0
6,1104,"夜明け前の双星ガチャ",0,1,0,0
6,1105,"謎の洞窟 黄金は実在した!!ガチャ",0,1,0,0
6,1106,"スウィートブライダルリミテッドガチャ",0,1,0,0
6,1107,"忘れられない、愛（ピュア）とロックがここにある。ガチャ",0,1,0,0
6,1108,"メルティ夜ふかしガチャ",0,1,0,0
6,1109,"絵本の国のシューターズガチャ",0,1,0,0
6,1110,"オンゲキ R.E.D. PLUS 大感謝祭ガチャ",0,1,0,0
6,1111,"オンゲキ 3rd Anniversaryガチャ",0,1,1,33
