tutori2,10000,100000,10,10,10,10,10,0,0,0,0,0,0,100000,
tutori3,10000,100000,10,10,10,10,10,0,0,0,0,0,0,100000,
tutori4,10000,10100000,10,10,10,10,10,0,0,0,0,0,0,100000,
tutori6,10050,10100000,10,10,10,10,10,0,0,0,0,0,0,100000,
tutori8,10000,800000,30,150,350,0,0,1,1,1,0,0,0,100000,
sateli,10000,800000,280,490,770,820,170,1,1,1,1,1,0,100300,
nature,10000,40802000,140,240,530,750,50,1,1,1,1,1,3,100301,
purple,10000,800000,220,540,640,730,140,1,1,1,1,1,0,100307,
hearts,10000,800000,180,380,680,770,80,1,1,1,1,1,0,100308,
phasea,10000,800000,160,380,650,750,90,1,1,1,1,1,0,100310,
planet,10000,802000,170,360,490,710,100,1,1,1,1,1,1,100311,
firefo,10000,800000,130,360,570,830,70,1,1,1,1,1,0,100314,
kounen,10000,808000,210,400,660,780,100,1,1,1,1,1,3,100315,
essenc,10000,800000,250,500,700,760,110,1,1,1,1,1,0,100316,
summer,10000,800000,230,570,790,890,130,1,1,1,1,1,0,100317,
tanosi,10000,802000,250,450,700,800,160,1,1,1,1,1,7,100319,
picora,10000,802000,150,380,660,750,80,1,1,1,1,1,1,100320,
devils,10000,800000,270,400,800,0,150,1,1,1,0,1,0,100323,
techno,10000,802000,160,380,510,740,90,1,1,1,1,1,1,100328,
glowww,10000,40802000,170,280,420,600,80,1,1,1,1,1,7,100335,
powerr,10000,800000,190,380,690,790,120,1,1,1,1,1,0,100336,
amater,10000,800000,210,480,650,790,130,1,1,1,1,1,0,100340,
advers,10000,802000,150,480,710,830,90,1,1,1,1,1,1,100349,
venera,10000,800000,150,430,680,750,80,1,1,1,1,1,0,100353,
dazaii,10000,803000,210,430,730,770,120,1,1,1,1,1,3,100357,
thesig,10000,802000,210,380,560,730,100,1,1,1,1,1,3,100365,
hosita,10000,802000,160,360,480,650,100,1,1,1,1,1,9999,100344,
bluede,10000,802000,220,410,580,700,120,1,1,1,1,1,5,100372,
emerao,10000,802000,300,530,850,0,190,1,1,1,0,1,1,100373,
megaro,10000,800000,550,800,930,980,0,1,1,1,1,1,0,100129,
angeli,10000,800000,330,560,820,900,220,1,1,1,1,1,0,100330,
moonli,10000,803000,140,430,610,730,80,1,1,1,1,1,9999,100342,
yumemi,10000,802000,120,350,590,690,60,1,1,1,1,1,9999,100369,
