Cs1000,1,1,1,1,1,1,1,1,1,1,
Cs1001,1,1,1,1,1,1,1,1,1,1,
Cs1002,1,1,1,1,1,1,1,1,1,1,
Cs1003,1,1,1,1,1,1,1,1,1,1,
Cs1004,1,1,1,1,1,1,1,1,1,1,
Cs1005,1,1,1,1,1,1,1,1,1,1,
Cs1006,1,1,1,1,1,1,1,1,1,1,
Cs1007,1,1,1,1,1,1,1,1,1,1,
Cs1008,1,1,1,1,1,1,1,1,1,1,
Cs1009,1,1,1,1,1,1,1,1,1,1,
Cs1010,1,1,1,1,1,1,1,1,1,1,
Cs1011,1,1,1,1,1,1,1,1,1,1,
Cs1012,1,1,1,1,1,1,1,1,1,1,
Cs1013,1,1,1,1,1,1,1,1,1,1,
Cs1014,1,1,1,1,1,1,1,1,1,1,
Cs1015,1,1,1,1,1,1,1,1,1,1,
Cs1016,1,1,1,1,1,1,1,1,1,1,
Cs1017,1,1,1,1,1,1,1,1,1,1,
Cs1018,1,1,1,1,1,1,1,1,1,1,
Cs1019,1,1,1,1,1,1,1,1,1,1,
Cs1020,1,1,1,1,1,1,1,1,1,1,
Cs1021,1,1,1,1,1,1,1,1,1,1,
Cs1022,1,1,1,1,1,1,1,1,1,1,
Cs1023,1,1,1,1,1,1,1,1,1,1,
Cs1024,1,1,1,1,1,1,1,1,1,1,
Cs1025,1,1,1,1,1,1,1,1,1,1,
Cs1026,1,1,1,1,1,1,1,1,1,1,
Cs1027,1,1,1,1,1,1,1,1,1,1,
Cs1028,1,1,1,1,1,1,1,1,1,1,
Cs1029,1,1,1,1,1,1,1,1,1,1,
Cs1030,1,1,1,1,1,1,1,1,1,1,
Cs1031,1,1,1,1,1,1,1,1,1,1,
Cs1032,1,1,1,1,1,1,1,1,1,1,
Cs1033,1,1,1,1,1,1,1,1,1,1,
Cs1034,1,1,1,1,1,1,1,1,1,1,
Cs1035,1,1,1,1,1,1,1,1,1,1,
Cs1036,1,1,1,1,1,1,1,1,1,1,
Cs1037,1,1,1,1,1,1,1,1,1,1,
Cs1038,1,1,1,1,1,1,1,1,1,1,
